Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",C_0402,2,3.3pF,C1565
"C10, C13, C3, C5, C6, C7, C9",C_0402,7,100nF,C1525
C11,C_0402,1,10uF,C15525
C12,C_0402,1,10nF,C15195
"C14, C16",C_CASE-A-3216-18(mm),2,22uF,C7182
"C15, C19, C4, C8",C_0402,4,1uF,C52923
"C17, C18",C_0402,2,30pF,C1570
D1,D_0603,1,Red,C2286
D2,D_SOD-323,1,RB751V-40,C7502691
D3,D_SOD-123,1,BZT52C24,C19077416
D4,D_SMA,1,1SMA4743A,C19077481
J1,SMA_Amphenol_132289_EdgeMount,1,Conn_Coaxial,
J3,TYPE-C-SMD_HX-TYPE-C-16PIN,1,"Connector, USB-TYPE-C-16P",C2927039
L1,L_0402,1,2.2nH,C86061
L2,L_0603,1,2.2nH,C113061
"R1, R4",R_0402,2,5.1kΩ,C25905
R2,R_0603,1,240Ω,C23350
R3,R_0402,1,100kΩ,C25741
R5,R_0402,1,22Ω,C25092
R6,R_0402,1,10kΩ,C25744
"SW1, SW2",SW_Push_SPST_NO_Alps_SKRK,2,SW_Push,
U1,SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR,1,AMS1117,C6186
U2,QFN-56-1EP_7x7mm_P0.4mm_EP4x4mm_ThermalVias,1,ESP32-S3,C2913192
U3,SOT-666,1,USBLC6-2P6,
U4,SOIC-8_L5.3-W5.3-P1.27-LS8.0-BL,1,W25Q128,C97521
X1,OSC-SMD_4P-L3.2-W2.5-BL_SIT8008BI,1,"40MHz, 15pF",C9010
