Designator,Mid X,Mid Y,Rotation,Layer
C1,144.285,-92.15,270.0,top
C10,142.875,-78.545,270.0,top
C11,99.56,-104.14,0.0,top
C12,117.34,-101.44,0.0,top
C13,86.868,-83.312,90.0,top
C14,90.17,-104.14,270.0,top
C15,93.48,-113.03,0.0,top
C16,93.98,-97.79,0.0,top
C17,104.005,-75.62,0.0,top
C18,104.005,-77.47,0.0,top
C19,119.38,-92.964,0.0,top
C2,145.415,-92.15,270.0,top
C3,98.56,-96.52,0.0,top
C4,99.56,-107.14,0.0,top
C5,104.005,-73.77,0.0,top
C6,109.72,-88.9,0.0,top
C7,113.038,-77.724,0.0,top
C8,109.72,-83.82,0.0,top
C9,140.97,-78.545,270.0,top
D1,126.21,-102.87,0.0,top
D2,87.63,-91.66,270.0,top
D3,112.775,-74.295,0.0,top
D4,101.346,-87.63,270.0,top
J1,148.9425,-90.61,0.0,top
J3,79.955,-86.36,270.0,top
L1,144.907,-90.626,0.0,top
L2,142.085,-76.64,0.0,top
R1,84.32,-84.836,0.0,top
R2,125.97,-105.3,0.0,top
R3,128.016,-82.042,180.0,top
R4,120.65,-80.772,180.0,top
R5,104.005,-79.32,0.0,top
R6,123.952,-91.948,0.0,top
SW1,80.196,-77.216,0.0,top
SW2,80.264,-94.234,0.0,top
U1,83.82,-102.87,180.0,top
U2,136.885,-87.578,270.0,top
U3,118.5885,-85.178,270.0,top
U4,126.492,-85.471,180.0,top
X1,137.16,-95.885,0.0,top
